[0.000000] (-) TimerEvent: {}
[0.000400] (neo_simulation2) JobQueued: {'identifier': 'neo_simulation2', 'dependencies': OrderedDict()}
[0.171704] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr2/meshes/Ar_tag.dae\n'}
[0.171788] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr2/materials\n'}
[0.171860] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr2/materials/scripts\n'}
[0.171935] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr2/materials/scripts/ar_tag.material\n'}
[0.172026] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr2/materials/textures\n'}
[0.172102] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr2/materials/textures/qrcode.png\n'}
[0.172201] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr2/materials/textures/MarkerData_10.png\n'}
[0.172277] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr2/materials/textures/MarkerData_2.png\n'}
[0.172385] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr2/materials/textures/qrcode1.png\n'}
[0.172481] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr2/model.sdf\n'}
[0.172553] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_env_w 2\n'}
[0.172613] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_env_w 2/model.config\n'}
[0.172683] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_env_w 2/materials\n'}
[0.172750] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_env_w 2/materials/scripts\n'}
[0.172825] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_env_w 2/materials/scripts/wall_white.material\n'}
[0.172893] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_env_w 2/materials/textures\n'}
[0.172950] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_env_w 2/materials/textures/wall_color_white.jpg\n'}
[0.173008] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_env_w 2/model.sdf\n'}
[0.173074] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/yellow_bin\n'}
[0.173138] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/yellow_bin/model.config\n'}
[0.173195] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/yellow_bin/meshes\n'}
[0.173263] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/yellow_bin/meshes/green_cylinder.stl\n'}
[0.173331] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/yellow_bin/model.sdf\n'}
[0.173398] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ShelfE_01\n'}
[0.173465] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ShelfE_01/model.config\n'}
[0.173533] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ShelfE_01/.DS_Store\n'}
[0.173590] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ShelfE_01/meshes\n'}
[0.173665] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ShelfE_01/meshes/aws_robomaker_warehouse_ShelfE_01_visual.DAE\n'}
[0.173730] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ShelfE_01/meshes/aws_robomaker_warehouse_ShelfE_01_collision.DAE\n'}
[0.173797] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ShelfE_01/materials\n'}
[0.173856] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ShelfE_01/materials/.DS_Store\n'}
[0.173921] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ShelfE_01/materials/textures\n'}
[0.173988] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ShelfE_01/materials/textures/aws_robomaker_warehouse_ShelfE_02.png\n'}
[0.174055] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ShelfE_01/materials/textures/aws_robomaker_warehouse_ShelfE_04.png\n'}
[0.174120] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ShelfE_01/materials/textures/aws_robomaker_warehouse_ShelfE_01.png\n'}
[0.174195] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ShelfE_01/materials/textures/aws_robomaker_warehouse_ShelfE_03.png\n'}
[0.174291] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ShelfE_01/model.sdf\n'}
[0.174377] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_DeskC_01\n'}
[0.174475] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_DeskC_01/model.config\n'}
[0.174575] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_DeskC_01/meshes\n'}
[0.174663] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_DeskC_01/meshes/aws_robomaker_warehouse_DeskC_01_collision.DAE\n'}
[0.174757] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_DeskC_01/meshes/aws_robomaker_warehouse_DeskC_01_visual.DAE\n'}
[0.174837] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_DeskC_01/materials\n'}
[0.174937] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_DeskC_01/materials/.DS_Store\n'}
[0.175032] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_DeskC_01/materials/textures\n'}
[0.175131] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_DeskC_01/materials/textures/aws_robomaker_warehouse_DeskC_04.png\n'}
[0.175214] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_DeskC_01/materials/textures/aws_robomaker_warehouse_DeskC_01.png\n'}
[0.175301] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_DeskC_01/materials/textures/aws_robomaker_warehouse_DeskC_03.psd\n'}
[0.175376] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_DeskC_01/materials/textures/aws_robomaker_warehouse_DeskC_03.png\n'}
[0.175444] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_DeskC_01/materials/textures/aws_robomaker_warehouse_DeskC_02.png\n'}
[0.175526] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_DeskC_01/model.sdf\n'}
[0.175614] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_env\n'}
[0.175708] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_env/model.config\n'}
[0.175775] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_env/materials\n'}
[0.175850] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_env/materials/scripts\n'}
[0.175930] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_env/materials/scripts/wall.material\n'}
[0.176003] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_env/materials/textures\n'}
[0.176077] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_env/materials/textures/wall_color.jpg\n'}
[0.176159] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_env/model.sdf\n'}
[0.176254] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ClutteringA_01\n'}
[0.176331] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ClutteringA_01/model.config\n'}
[0.176426] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ClutteringA_01/.DS_Store\n'}
[0.176492] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ClutteringA_01/meshes\n'}
[0.176570] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ClutteringA_01/meshes/aws_robomaker_warehouse_ClutteringA_01_collision.DAE\n'}
[0.176647] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ClutteringA_01/meshes/aws_robomaker_warehouse_ClutteringA_01_visual.DAE\n'}
[0.176716] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ClutteringA_01/materials\n'}
[0.176805] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ClutteringA_01/materials/.DS_Store\n'}
[0.176882] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ClutteringA_01/materials/textures\n'}
[0.176962] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ClutteringA_01/materials/textures/aws_robomaker_warehouse_ClutteringA_02.png\n'}
[0.177045] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ClutteringA_01/materials/textures/.DS_Store\n'}
[0.177130] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ClutteringA_01/materials/textures/aws_robomaker_warehouse_ClutteringA_01.png\n'}
[0.177223] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ClutteringA_01/materials/textures/aws_robomaker_warehouse_ClutteringA_03.png\n'}
[0.177302] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ClutteringA_01/model.sdf\n'}
[0.177385] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ClutteringD_01\n'}
[0.177466] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ClutteringD_01/model.config\n'}
[0.177549] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ClutteringD_01/meshes\n'}
[0.177623] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ClutteringD_01/meshes/aws_robomaker_warehouse_ClutteringD_01_visual.DAE\n'}
[0.177715] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ClutteringD_01/meshes/aws_robomaker_warehouse_ClutteringD_01_collision.DAE\n'}
[0.177800] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ClutteringD_01/materials\n'}
[0.177883] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ClutteringD_01/materials/textures\n'}
[0.177967] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ClutteringD_01/materials/textures/aws_robomaker_warehouse_ClutteringD_02.png\n'}
[0.178054] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ClutteringD_01/materials/textures/aws_robomaker_warehouse_ClutteringD_01.png\n'}
[0.178144] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_ClutteringD_01/model.sdf\n'}
[0.178232] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr12\n'}
[0.178300] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr12/model.config\n'}
[0.178399] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr12/meshes\n'}
[0.178486] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr12/meshes/plate.blend\n'}
[0.178590] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr12/meshes/Ar_tag_nr12.dae\n'}
[0.178670] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr12/materials\n'}
[0.178757] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr12/materials/scripts\n'}
[0.178838] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr12/materials/scripts/ar_tag.material\n'}
[0.178934] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr12/materials/textures\n'}
[0.179012] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr12/materials/textures/MarkerData_12.png\n'}
[0.179089] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr12/model.sdf\n'}
[0.179155] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_GroundB_01\n'}
[0.179238] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_GroundB_01/model.config\n'}
[0.179323] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_GroundB_01/meshes\n'}
[0.179418] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_GroundB_01/meshes/aws_robomaker_warehouse_GroundB_01_visual.DAE\n'}
[0.179506] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_GroundB_01/meshes/aws_robomaker_warehouse_GroundB_01_collision.DAE\n'}
[0.179589] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_GroundB_01/materials\n'}
[0.179666] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_GroundB_01/materials/textures\n'}
[0.179766] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_GroundB_01/materials/textures/aws_robomaker_warehouse_GroundB_01.png\n'}
[0.179962] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_GroundB_01/materials/textures/aws_robomaker_warehouse_GroundB_02.png\n'}
[0.180028] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_GroundB_01/model.sdf\n'}
[0.180130] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/neobotix_wall_stickers\n'}
[0.180213] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/neobotix_wall_stickers/model.config\n'}
[0.180410] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/neobotix_wall_stickers/materials\n'}
[0.180500] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/neobotix_wall_stickers/materials/scripts\n'}
[0.180561] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/neobotix_wall_stickers/materials/scripts/neobotix_ground_plane.material\n'}
[0.180617] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/neobotix_wall_stickers/materials/textures\n'}
[0.180669] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/neobotix_wall_stickers/materials/textures/MyImage.jpg\n'}
[0.180721] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/neobotix_wall_stickers/model.sdf\n'}
[0.180772] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_env_w\n'}
[0.180858] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_env_w/model.config\n'}
[0.180915] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_env_w/materials\n'}
[0.180968] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_env_w/materials/scripts\n'}
[0.181020] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_env_w/materials/scripts/wall_white.material\n'}
[0.181070] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_env_w/materials/textures\n'}
[0.181120] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_env_w/materials/textures/wall_color_white.jpg\n'}
[0.181170] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/office_env_w/model.sdf\n'}
[0.181221] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_WallB_01\n'}
[0.181372] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_WallB_01/model.config\n'}
[0.181425] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_WallB_01/meshes\n'}
[0.181497] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_WallB_01/meshes/aws_robomaker_warehouse_WallB_01_collision.DAE\n'}
[0.181550] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_WallB_01/meshes/aws_robomaker_warehouse_WallB_01_visual.DAE\n'}
[0.181601] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_WallB_01/materials\n'}
[0.181652] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_WallB_01/materials/textures\n'}
[0.181705] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_WallB_01/materials/textures/aws_robomaker_warehouse_WallB_01.png\n'}
[0.181757] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/aws_robomaker_warehouse_WallB_01/model.sdf\n'}
[0.181809] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr9\n'}
[0.181863] (neo_simulation2) StdoutLine: {'line': b'-- Up-to-date: /root/ros2_code/humble/simulations/install/neo_simulation2/share/neo_simulation2/models/Ar_tags_nr9/model.config\n'}
